Название;Категория;Калории (ккал);Белки (г);Жиры (г);Углеводы (г);Ссылка
"Изюм «Голден», 100 г";"Сушеные фрукты";264;3.1;0.5;79.2;https://yarcheplus.ru/product/izyum-29507
"Яблочные фрустики «Яблоков» из кисло-сладких яблок, 25 г";"Сушеные фрукты";320;2.3;;83;https://yarcheplus.ru/product/yablochnye-frustiki-30616
"Яблочные фрустики «Яблоков» из сладких яблок, 25 г";"Сушеные фрукты";320;2.3;;83;https://yarcheplus.ru/product/yablochnye-frustiki-30617
"Курага, 100 г";"Сушеные фрукты";227.5;5.2;0.3;51;https://yarcheplus.ru/product/kuraga-4261
"Финики с косточкой, 100 г";"Сушеные фрукты";282;2;;00;https://yarcheplus.ru/product/finiki-4271
"Компотная смесь из сухофруктов, 250 г";"Сушеные фрукты";261.3;2.2;0.5;62;https://yarcheplus.ru/product/kompotnaya-smes-4285
"Ягодно-ореховая смесь Кешью-Клюква, 100 г";"Сушеные фрукты";470;11;23;54;https://yarcheplus.ru/product/yagodno-orekhovaya-smes-7104
"Фруктовый лаваш «Семушка» Яблочный, 80 г";"Сушеные фрукты";253;2.1;0.2;59;https://yarcheplus.ru/product/fruktoviy-lavash-24533
"Арахис жареный «NutStory», 43 г";"Орехи";610;26.82;46.63;10.21;https://yarcheplus.ru/product/arakhis-zhareniy-40684
"Миндаль жареный «NutStory», 34 г";"Орехи";609;19.19;55.4;13.41;https://yarcheplus.ru/product/mindal-zhareniy-40686
"Кешью жареный «NutStory», 34 г";"Орехи";569;8.05;43.53;31.46;https://yarcheplus.ru/product/keshyu-zhareniy-40687
"Фундук жареный «NutStory», 34 г";"Орехи";630;15.47;62.93;9.7;https://yarcheplus.ru/product/funduk-zhareniy-40688
"Кешью, миндаль, фундук «NutStory», 34 г";"Орехи";620;17.57;53.95;18.9;https://yarcheplus.ru/product/keshyu-mindal-funduk-40689
"Кедровая фисташка «Сибирский кедр», 100 г";"Орехи";715;15;68;11;https://yarcheplus.ru/product/kedrovaya-fistashka-40748
"Кукуруза «Джинн» со вкусом двойного сыра и чили, 35 г";"Орехи";470;7.5;18;69;https://yarcheplus.ru/product/kukuruza-40305
"Кукуруза «Джинн» со вкусом барбекю, 35 г";"Орехи";470;7.5;18;69;https://yarcheplus.ru/product/kukuruza-40306
"Семена чиа «АлтайНатурПродукт» необжаренные, 150 г";"Орехи";590;17;31;42;https://yarcheplus.ru/product/semena-chia-39507
"Фисташки «Ярче!» жареные, соленые, со вкусом черного перца, 50 г";"Орехи";620;21.5;52;17;https://yarcheplus.ru/product/fistashki-38637
"Фисташки со вкусом паприки, 50 г";"Орехи";615;21;51;18;https://yarcheplus.ru/product/fistashki-38638
"Арахис в корочке «ХрустNUT» со вкусом «Мексиканский соус», 50 г";"Орехи";580;18;29;41;https://yarcheplus.ru/product/arakhis-v-korochke-38346
"Арахис в корочке «ХрустNUT» со вкусом «Микс васаби, бекон и сыр», 50 г";"Орехи";580;17;29;42;https://yarcheplus.ru/product/arakhis-v-korochke-38345
"Арахис «ХрустNUT» со вкусом «Сочное барбекю», 50 г";"Орехи";584;17;29;42;https://yarcheplus.ru/product/arakhis-38347
"Арахис печёный «Beerka» со вкусом мексиканского соуса, 90 г";"Орехи";580;26.46;45.42;10.16;https://yarcheplus.ru/product/arakhis-pechyoniy-36980
"Арахис печёный «Beerka» со вкусом томата с базиликом, 90 г";"Орехи";580;26.46;45.48;10.16;https://yarcheplus.ru/product/arakhis-pechyoniy-36983
"Миндаль «Beerka» жареный соленый, 90 г";"Орехи";640;19.05;55.15;17.05;https://yarcheplus.ru/product/mindal-36920
"Кешью «Beerka» жареный соленый, 90 г";"Орехи";648;17.73;42.76;30.91;https://yarcheplus.ru/product/keshyu-36918
"Микс жареных орехов «Pocketnuts» с добавлением соли, 50 г";"Орехи";617;21.8;50.5;17.8;https://yarcheplus.ru/product/miks-zharenykh-orekhov-34695
"Микс орехов «Pocketnuts» без термической обработки, 50 г";"Орехи";628;20.5;52.8;14.9;https://yarcheplus.ru/product/miks-orekhov-34696
"Микс «Nut Story» Кешью, миндаль, фундук, 150 г";"Орехи";620;18;51;22;https://yarcheplus.ru/product/miks-31902
"Микс ореховый «Nut Story» Кешью, миндаль, фундук, цукаты ананаса, 150 г";"Орехи";540;14;39;34;https://yarcheplus.ru/product/miks-orekhoviy-31903
"Кешью «Nut Story» жареный, 150 г";"Орехи";580;18;43;31;https://yarcheplus.ru/product/keshyu-29620
"Миндаль «Nut Story» жареный, 150 г";"Орехи";640;19;55;17;https://yarcheplus.ru/product/mindal-29619
"Фундук «Nut Story» жареный, 150 г";"Орехи";630;16;55;18;https://yarcheplus.ru/product/funduk-29617
"Ягодно-ореховая смесь Кешью-Клюква, 100 г";"Орехи";470;11;23;54;https://yarcheplus.ru/product/yagodno-orekhovaya-smes-7104
"Фундук сушеный, 100 г";"Орехи";660;15;6.2;9.3;https://yarcheplus.ru/product/funduk-7866
"Фисташки жареные соленые, 80 г";"Орехи";590;20;50;16;https://yarcheplus.ru/product/fistashki-8038
"Семечки тыквенные жареные, 70 г";"Орехи";590;29;47;17;https://yarcheplus.ru/product/semechki-4211
"Кешью сушеный, 100 г";"Орехи";572;17.5;42.2;30.5;https://yarcheplus.ru/product/keshyu-7613
"Грецкий орех, 100 г";"Орехи";690;14.8;64;13.7;https://yarcheplus.ru/product/gretskiy-orekh-4293
"Арахис сушеный, 100 г";"Орехи";550;26;45;10;https://yarcheplus.ru/product/arakhis-7386
"Арахис жареный соленый, 90 г";"Орехи";620;26;52;13;https://yarcheplus.ru/product/arakhis-4240
"Семена льна масличного «АлтайНатурПродукт» Premium, 250 г";"Орехи";570;22;40;30;https://yarcheplus.ru/product/semena-lna-maslichnogo-29841
"Фисташки «Beerka» жареные, солёные, 80 г";"Орехи";590;20;50;16;https://yarcheplus.ru/product/fistashki-4291
"Арахис в кокосовой глазури, 100 г";"Орехи";507.77;12.63;27.81;51.74;https://yarcheplus.ru/product/arakhis-4306
"Арахис «Beerka» жареный, солёный, 90 г";"Орехи";620;26.3;51.67;9.9;https://yarcheplus.ru/product/arakhis-4290
"Арахис «Beerka» жареный, солёный, 30 г";"Орехи";620;26.3;51.67;9.9;https://yarcheplus.ru/product/arakhis-4284
"Арахис «Beerka» жареный, со вкусом шашлыка, 90 г";"Орехи";610;26.42;51.9;;https://yarcheplus.ru/product/arakhis-4259
"Смесь семян для салата «Толк & польза» «Сибирская», 60 г";"Орехи";598.6;18.7;53.7;9.9;https://yarcheplus.ru/product/smes-semyan-dlya-salata-23139
"Смесь семян «Толк & польза» для салата, классическая, 60 г";"Орехи";573.5;20.9;49.7;10.6;https://yarcheplus.ru/product/smes-semyan-23138
"Орехи кедровые очищенные, 100 г";"Орехи";678;15;56;28;https://yarcheplus.ru/product/orekhi-16733
"Кешью, миндаль, фундук и цукаты ананаса «NutStory», 43 г";"Орехи";540;11.07;20.9;48.56;https://yarcheplus.ru/product/keshyu-mindal-funduk-i-tsukaty-ananasa-40685
"Каша молочная «Gipopo» Овсяная с персиком, 200 г";"Пюре, каши, йогурты";411;13;11;65;https://yarcheplus.ru/product/kasha-molochnaya-40854
"Каша молочная «Gipopo» мультизлаковая, банан-яблоко, 200 г";"Пюре, каши, йогурты";410;12;10;68;https://yarcheplus.ru/product/kasha-molochnaya-40855
"Каша молочная «Маленькое счастье» 5 злаков + фрукты, 111 г";"Пюре, каши, йогурты";80;2;1;16;https://yarcheplus.ru/product/kasha-molochnaya-40555
"Каша молочная «Маленькое счастье» гречнево-рисовая + фрукты, 111 г";"Пюре, каши, йогурты";80;2;1;16;https://yarcheplus.ru/product/kasha-molochnaya-40556
"Йогурт питьевой 2.7% «Агуша» Клубника-банан, 180 г";"Пюре, каши, йогурты";77;2.8;2.7;10.3;https://yarcheplus.ru/product/yogurt-pityevoy-39373
"Йогурт питьевой 2.7% «Агуша» Яблоко-груша, 180 г";"Пюре, каши, йогурты";77;2.8;2.7;10.3;https://yarcheplus.ru/product/yogurt-pityevoy-39374
"Пюре детское «Маленькое счастье» Индейка, 80 г";"Пюре, каши, йогурты";120;9.5;6;6.5;https://yarcheplus.ru/product/pyure-detskoe-39030
"Пюре детское «Маленькое счастье» Цыпленок, 80 г";"Пюре, каши, йогурты";120;9.5;6;6.5;https://yarcheplus.ru/product/pyure-detskoe-38814
"Пюре детское «Маленькое счастье» Говядина, 80 г";"Пюре, каши, йогурты";120;8.5;7;4;https://yarcheplus.ru/product/pyure-detskoe-38815
"Йогуртный продукт 2.5% «Fruttis kids» с клубникой, 110 г";"Пюре, каши, йогурты";90;2.6;2.5;14.2;https://yarcheplus.ru/product/yogurtniy-produkt-38238
"Йогуртный продукт 2.5% «Fruttis kids» с персиком, 110 г";"Пюре, каши, йогурты";90;2.6;2.5;14.4;https://yarcheplus.ru/product/yogurtniy-produkt-38239
"Пюре «Сады Придонья» Цветная капуста, 125 г";"Пюре, каши, йогурты";20;0.72;;4.5;https://yarcheplus.ru/product/pyure-37877
"Пюре «Сады Придонья» Брокколи, 125 г";"Пюре, каши, йогурты";20;;;4.5;https://yarcheplus.ru/product/pyure-37876
"Фруктовое пюре «Бегемотик Бонди» Фруктовый салатик со злаками, 90 г";"Пюре, каши, йогурты";60;1;0.2;14;https://yarcheplus.ru/product/fruktovoe-pyure-37199
"Фруктовое пюре «Бегемотик Бонди» Яблоко, банан, печенье, 90 г";"Пюре, каши, йогурты";80;1;0.8;17;https://yarcheplus.ru/product/fruktovoe-pyure-37200
"Фруктовое пюре «Бегемотик Бонди» Яблоко-черника, 90 г";"Пюре, каши, йогурты";60;0.4;;14;https://yarcheplus.ru/product/fruktovoe-pyure-37197
